viewCount,likeCount,favoriteCount,commentCount,key,title,channel,url,date
42,1,0,0,항공 +코로나 -스포츠,코로나19에 최대위기 맞은 항공업계 긴급 유동성 지원 / YTN 사이언스,YTN 사이언스 투데이,https://www.youtube.com/watch?v=UGb-fX9n-vc,2020-04-23
237,2,0,0,항공 +코로나 -스포츠,&quot;코로나 여파…작년 전 세계 항공여객 65% 감소&quot; / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=1vwzx-rQ-uA,2021-04-04
3330,16,0,0,항공 +코로나 -스포츠,대한항공(003490)... 포스트 코로나 최대 수혜주_알파 공략주 (20210713),이데일리TV,https://www.youtube.com/watch?v=aTp7nC9YKTg,2021-07-13
2325,14,0,1,항공 +코로나 -스포츠,코로나19 여파…태국 타이항공 결국 법정관리 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=uLaa5L7WGtI,2020-05-20
1602,13,0,6,항공 +코로나 -스포츠,항공·호텔도 ‘코로나 셧다운’…5성 호텔도 닫았다 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=h_XhgfZsxRM,2020-03-23
2378,11,0,13,항공 +코로나 -스포츠,"[코로나19 Q&amp;A] 대한항공, 인천~오사카 노선 재개 / KBS뉴스(News)",KBS News,https://www.youtube.com/watch?v=LPXBcKMqtlo,2020-09-23
145,0,0,0,항공 +코로나 -스포츠,코로나19에도 1~4월 항공운송 수출 4.6% 늘어,서울경제TV 포커스온,https://www.youtube.com/watch?v=Ogio44kAuCE,2020-06-16
2933,53,0,4,항공 +코로나 -스포츠,"320km의 여정, 코로나19 백신 울릉도로 항공 수송 임무 완수! | 대한민국 국방부",국방부 - ROK Ministry of National Defense,https://www.youtube.com/watch?v=T01SXmd6j48,2021-02-28
216,0,0,0,항공 +코로나 -스포츠,"항공업계, 코로나19 직격탄…‘무더기 적자’",서울경제TV 포커스온,https://www.youtube.com/watch?v=st_nnC-PlkY,2020-05-15
2332,11,0,2,항공 +코로나 -스포츠,‘코로나 셧다운’ 확산…항공 이어 5성 호텔까지 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=W-N6h33Zl9A,2020-03-24
2167,19,0,2,항공 +코로나 -스포츠,[앵커리포트] 코로나 직격탄 &#39;항공·여행&#39;...&#39;주가&#39;는 들썩거리지만 / YTN, YTN,https://www.youtube.com/watch?v=f83GFY8INe0,2021-06-04
609,5,0,3,항공 +코로나 -스포츠,"코로나 타격 항공제조업계, 고용지원 요구…서명 전달 / KBS뉴스(News)",KBS News,https://www.youtube.com/watch?v=5JXrccWEMuY,2020-05-25
987,9,0,10,항공 +코로나 -스포츠,日 코로나 감염 616명으로 늘어…한국 항공 노선은 감편 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=zoubIWYx4-g,2020-02-19
1505,8,0,1,항공 +코로나 -스포츠,"항공업계, ‘코로나’ 장기화 막는다…6월 운항 증편",서울경제TV 포커스온,https://www.youtube.com/watch?v=jFfWdLh2D60,2020-05-19
1062,22,0,5,항공 +코로나 -스포츠,"서북도서에 최초 백신 항공 수송, 코로나19 백신 도서지역 헬기 공수",국방 NEWS,https://www.youtube.com/watch?v=FV5AEyzBNfo,2021-05-25
6070,,0,21,항공 +코로나 -스포츠,대한민국공군의 코로나19 백신 첫 항공 수송!,대한민국공군,https://www.youtube.com/watch?v=psdsNUKkDJI,2021-03-02
1347,12,0,1,항공 +코로나 -스포츠,&#39;코로나 직격탄&#39; 외식·항공 카드 공제율 늘린다…5배 ↑ / JTBC 뉴스룸,JTBC News,https://www.youtube.com/watch?v=H1bhTiy7rns,2020-04-08
3363,85,0,32,항공 +코로나 -스포츠,코로나에 걸렸지만 공정위 발표는 못 참지! 대한항공-아시아나 조건부 결합 승인 내용 분석! (2/23라이브방송) [떴다 떴다 변비행✈126화],떴다떴다변비행,https://www.youtube.com/watch?v=GpU5MiQkaIU,2022-03-01
1964,59,0,10,항공 +코로나 -스포츠,8일부터 인천국제공항 항공규제 해제 공급 확대｜코로나19 중앙방역대책본부 브리핑 (22.6.7.),KTV국민방송,https://www.youtube.com/watch?v=Ua3NfkQWYuY,2022-06-07
2920,26,0,10,항공 +코로나 -스포츠,코로나 급증에 한중 항공노선 축소…상하이 한인타운 봉쇄 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=vjv05NnGIC4,2022-03-21
106,1,0,0,항공 +코로나 -스포츠,델타 변이에 델타 플러스까지…항공업계 &quot;코로나가 너무해&quot;,뉴스토마토,https://www.youtube.com/watch?v=oDHO9uKWTWo,2021-06-24
893,5,0,0,항공 +코로나 -스포츠,‘코로나 위기’ 대한항공은?…조원태 ‘첩첩산중’ 시험대 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=FYrrkLqkJQI,2020-03-28
232,6,0,0,항공 +코로나 -스포츠,코로나로 쌓인 마일리지…소진 골몰하는 항공업계,뉴스토마토,https://www.youtube.com/watch?v=K6r0ZN-OaOc,2022-01-17
464,3,0,1,항공 +코로나 -스포츠,[자막뉴스] 항공·호텔도 ‘코로나 셧다운’…5성 호텔도 닫았다 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=VGxqIpEytWc,2020-03-23
221,1,0,0,항공 +코로나 -스포츠,"영국항공, 비행기 탑승 전후 세 차례 코로나19 검사 제공 / YTN 사이언스",YTN 사이언스 투데이,https://www.youtube.com/watch?v=ebDs62OH5EY,2020-11-19
327,3,0,4,항공 +코로나 -스포츠,&#39;코로나 반년 &#39; 탈출구 못찾는  항공업계...정부에 긴급 &#39;SOS&#39; / 머니투데이방송 (뉴스),MTN 머니투데이방송,https://www.youtube.com/watch?v=ipEhjYaXy14,2020-08-06
2534,52,0,13,항공 +코로나 -스포츠,[시선집중] &quot;코로나휴직 생계의 문제다! 위기에 몰린 항공업계 노동자들&quot; - 항공연대협의회 대한항공직원연대지부 송민섭 지부장,MBC 라디오 시사,https://www.youtube.com/watch?v=_9iYoZ2Gmzs,2020-11-10
337,10,0,5,항공 +코로나 -스포츠,"코로나19 팬데믹, 인도 현지 항공물류 동향은?",한국무역협회 KITA TV,https://www.youtube.com/watch?v=xg9Yoe3qVsA,2020-04-29
239,0,0,0,항공 +코로나 -스포츠,"영국항공 소유주 “신종코로나, 여행산업 영향 미미”",서울경제TV 포커스온,https://www.youtube.com/watch?v=WY8LlbVcL08,2020-02-06
5655,34,0,16,항공 +코로나 -스포츠,[코로나19 Q&amp;A] 항공업계 “코로나19 백신 수송 준비” / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=1QrDrMB64-Q,2020-11-11
560,7,0,0,항공 +코로나 -스포츠,"코로나 중 화물운송, 리오프닝·유가 /대한항공",토마토증권통 TomatoTV,https://www.youtube.com/watch?v=QsTUpVpQQI0,2022-03-24
220,2,0,2,항공 +코로나 -스포츠,코로나19로 지난해 항공여객 20년 만에 최저 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=R-dhprYcasU,2021-02-14
264,4,0,2,항공 +코로나 -스포츠,[뉴스후] 항공업계 코로나19로 &#39;쑥대밭&#39;... 자구책 마련에 안간힘 / 머니투데이방송 (뉴스),MTN 머니투데이방송,https://www.youtube.com/watch?v=WgLh-PIthXg,2020-02-26
408,2,0,3,항공 +코로나 -스포츠,"코로나 타격 항공제조업계, 고용지원 요구…서명 전달 / KBS뉴스(News)",KBS News,https://www.youtube.com/watch?v=qP62xQzkaGs,2020-05-25
348,11,0,1,항공 +코로나 -스포츠,[2009015_화] 패트롤전북-전북코로나19현황/이스타항공 직원 대량해고 사태/정부와 여당 책임론도 거세,KBS전주,https://www.youtube.com/watch?v=Y3v6MsMBdf0,2020-09-15
4552436,33248,0,1158,항공 +코로나 -스포츠,천만 원짜리 대한항공 일등석인데... 예전 같지 않네요😭 | 코시국 대한항공 퍼스트 클래스 후기,또 떠나는 남자 ddoddunam,https://www.youtube.com/watch?v=KzBtGUrH894,2022-01-21
3153,23,0,8,항공 +코로나 -스포츠,코로나 백신 개발 소식에…항공·여행주 연일 상승세 / SBS,SBS 뉴스,https://www.youtube.com/watch?v=3tG0V3svUd4,2020-11-12
590,5,0,0,항공 +코로나 -스포츠,[코로나발 항공 빅뱅…누가 울고 누가 웃나? ] 고육지책? 신의 한수?,SBS Biz 뉴스,https://www.youtube.com/watch?v=C9i_GWoyebg,2020-11-21
283,1,0,1,항공 +코로나 -스포츠,항공·관광·외식업계 자금 공급 확대…“코로나19 여파 최소화” / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=tctDqa4iFU8,2020-02-17
18807,135,0,59,항공 +코로나 -스포츠,"코로나 재확산...항공업계, 새해 하늘길도 &#39;울상&#39; / YTN", YTN,https://www.youtube.com/watch?v=_Wd-d9XqhLg,2021-01-02
542,3,0,2,항공 +코로나 -스포츠,[코로나발 항공 빅뱅…누가 울고 누가 웃나? ] 복병은 남매 다툼?,SBS Biz 뉴스,https://www.youtube.com/watch?v=ZI83AwQir_I,2020-11-21
3062,31,0,2,항공 +코로나 -스포츠,코로나19 진압 기대 여행·항공·리조트 관련주 UP...오늘장 관심주 : 천보 / 미국주식보고 한국주식사자 / 한국경제TV,한국경제TV,https://www.youtube.com/watch?v=4czZbw_hb1Q,2020-08-31
297,3,0,1,항공 +코로나 -스포츠,대구·경북 코로나19 확산에 대구 항공노선 감축 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=Uu-9zn84LUg,2020-02-24
702,6,0,0,항공 +코로나 -스포츠,신종 코로나에 닫히는 하늘길…어두워진 항공산업 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=ZxQ_SYf9nvw,2020-02-01
5928,48,0,16,항공 +코로나 -스포츠,[코로나19 브리핑] &quot;유럽발 항공노선 특별입국절차 확대&quot; (중앙재난안전대책본부/11:00) - 3월 16일 (월) 뉴스특보 풀영상 / JTBC News,JTBC News,https://www.youtube.com/watch?v=vJK8p5qQKMI,2020-03-16
2502,17,0,1,항공 +코로나 -스포츠,"하이즈항공, 코로나로 꺾인 날개... 수소로 이륙하나 / 공진단 / 한국경제TV",한국경제TV,https://www.youtube.com/watch?v=FqIRqsL5bR4,2020-12-16
